,Name,Overall,Wage
0,L. Messi,94,€565K
1,Cristiano Ronaldo,94,€405K
2,Neymar Jr,92,€290K
3,De Gea,91,€260K
4,K. De Bruyne,91,€355K
5,E. Hazard,91,€340K
6,L. Modrić,91,€420K
7,L. Suárez,91,€455K
8,Sergio Ramos,91,€380K
9,J. Oblak,90,€94K
10,R. Lewandowski,90,€205K
11,T. Kroos,90,€355K
12,D. Godín,90,€125K
13,David Silva,90,€285K
14,N. Kanté,89,€225K
15,P. Dybala,89,€205K
16,H. Kane,89,€205K
17,A. Griezmann,89,€145K
18,M. ter Stegen,89,€240K
19,T. Courtois,89,€240K
20,Sergio Busquets,89,€315K
21,E. Cavani,89,€200K
22,M. Neuer,89,€130K
23,S. Agüero,89,€300K
24,G. Chiellini,89,€215K
25,K. Mbappé,88,€100K
26,M. Salah,88,€255K
27,Casemiro,88,€285K
28,J. Rodríguez,88,€315K
29,L. Insigne,88,€165K
30,Isco,88,€315K
31,C. Eriksen,88,€205K
32,Coutinho,88,€340K
33,P. Aubameyang,88,€265K
34,M. Hummels,88,€160K
35,Marcelo,88,€285K
36,G. Bale,88,€355K
37,H. Lloris,88,€150K
38,G. Higuaín,88,€245K
39,Thiago Silva,88,€165K
40,S. Handanovič,88,€110K
41,G. Buffon,88,€77K
42,S. Umtiti,87,€205K
43,M. Icardi,87,€130K
44,K. Koulibaly,87,€115K
45,P. Pogba,87,€210K
46,K. Navas,87,€195K
47,R. Lukaku,87,€230K
48,C. Immobile,87,€115K
49,Jordi Alba,87,€250K
50,D. Mertens,87,€135K
51,J. Vertonghen,87,€155K
52,M. Hamšík,87,€125K
53,I. Rakitić,87,€260K
54,Piqué,87,€240K
55,L. Sané,86,€195K
56,Bernardo Silva,86,€180K
57,Ederson,86,€125K
58,S. Mané,86,€195K
59,V. van Dijk,86,€165K
60,R. Sterling,86,€195K
61,Roberto Firmino,86,€195K
62,R. Varane,86,€210K
63,M. Verratti,86,€135K
64,Alex Sandro,86,€160K
65,Douglas Costa,86,€175K
66,T. Müller,86,€135K
67,Thiago,86,€130K
68,M. Reus,86,€100K
69,Azpilicueta,86,€175K
70,L. Bonucci,86,€160K
71,T. Alderweireld,86,€150K
72,M. Pjanić,86,€180K
73,M. Benatia,86,€160K
74,M. Özil,86,€190K
75,Fernandinho,86,€185K
76,Iniesta,86,€21K
77,M. Škriniar,85,€82K
78,S. Milinković-Savić,85,€73K
79,Marco Asensio,85,€215K
80,N. Fekir,85,€92K
81,Alisson,85,€115K
82,J. Kimmich,85,€92K
83,Saúl,85,€77K
84,R. Mahrez,85,€205K
85,D. Alaba,85,€110K
86,Koke,85,€88K
87,A. Lacazette,85,€180K
88,K. Manolas,85,€96K
89,N. Otamendi,85,€170K
90,Parejo,85,€66K
91,Paulinho,85,€235K
92,W. Szczęsny,85,€125K
93,A. Sánchez,85,€215K
94,Y. Brahimi,85,€28K
95,J. Boateng,85,€115K
96,A. Vidal,85,€205K
97,I. Perišić,85,€110K
98,E. Džeko,85,€115K
99,S. Khedira,85,€160K
100,Diego Costa,85,€100K
101,R. Nainggolan,85,€105K
102,Naldo,85,€38K
103,B. Matuidi,85,€145K
104,Miranda,85,€96K
105,K. Benzema,85,€240K
106,Filipe Luís,85,€81K
107,V. Kompany,85,€170K
108,Pepe,85,€57K
109,Z. Ibrahimović,85,€15K
110,D. Sánchez,84,€105K
111,J. Giménez,84,€63K
112,Alex Telles,84,€22K
113,A. Laporte,84,€135K
114,Bruno Fernandes,84,€22K
115,N. Süle,84,€84K
116,A. Martial,84,€165K
117,D. Alli,84,€115K
118,Fabinho,84,€120K
119,Marquinhos,84,€90K
120,William Carvalho,84,€38K
121,Jorginho,84,€155K
122,F. Thauvin,84,€72K
123,Carvajal,84,€185K
124,M. Depay,84,€93K
125,H. Son,84,€125K
126,A. Lopes,84,€72K
127,S. de Vrij,84,€88K
128,M. Perin,84,€105K
129,J. Cuadrado,84,€150K
130,Iago Aspas,84,€45K
131,B. Leno,84,€115K
132,N. Matić,84,€165K
133,L. Hrádecký,84,€74K
134,Illarramendi,84,€51K
135,K. Walker,84,€165K
136,I. Gündoğan,84,€175K
137,José Callejón,84,€105K
138,A. Di María,84,€125K
139,M. Mandžukić,84,€160K
140,Willian,84,€175K
141,Sergio Asenjo,84,€42K
142,E. Banega,84,€31K
143,A. Witsel,84,€77K
144,D. Payet,84,€75K
145,Jonas,84,€25K
146,Sokratis,84,€140K
147,S. Ruffier,84,€41K
148,Falcao,84,€115K
149,K. Schmeichel,84,€78K
150,Raúl Albiol,84,€88K
151,A. Gómez,84,€53K
152,A. Barzagli,84,€95K
153,Quaresma,84,€80K
154,A. Robben,84,€110K
155,O. Dembélé,83,€155K
156,Gabriel Jesus,83,€130K
157,Ronaldo Cabrais,83,€51K
158,Josué Chiamulera,83,€43K
159,Louri Beretta,83,€60K
160,P. Kimpembe,83,€82K
161,N. Keïta,83,€120K
162,C. Tolisso,83,€85K
163,T. Lemar,83,€64K
164,K. Coman,83,€85K
165,J. Tah,83,€67K
166,Anderson Talisca,83,€18K
167,T. Werner,83,€70K
168,A. Rabiot,83,€91K
169,L. Goretzka,83,€85K
170,Q. Promes,83,€28K
171,H. Ziyech,83,€28K
172,Lucas Vázquez,83,€205K
173,Y. Carrasco,83,€20K
174,Gerard Moreno,83,€53K
175,Felipe,83,€22K
176,M. Kovačić,83,€165K
177,Kepa,83,€84K
178,Manu Trigueros,83,€49K
179,S. Gnabry,83,€85K
180,J. Pickford,83,€78K
181,S. Savić,83,€67K
182,J. Stones,83,€125K
183,Suso,83,€115K
184,J. Draxler,83,€91K
185,Felipe Anderson,83,€110K
186,Lucas Moura,83,€115K
187,Danilo Pereira,83,€21K
188,Nacho Fernández,83,€180K
189,T. Horn,83,€25K
190,Allan,83,€87K
191,F. Acerbi,83,€64K
192,Sergi Roberto,83,€170K
193,Rodrigo,83,€57K
194,Pizzi,83,€22K
195,K. Kampl,83,€74K
196,Neto,83,€41K
197,O. Baumann,83,€42K
198,I. Gueye,83,€125K
199,H. Mkhitaryan,83,€145K
200,Marcos Alonso,83,€130K
201,D. Subašić,83,€70K
202,K. Glik,83,€86K
203,K. Strootman,83,€66K
204,B. Dost,83,€26K
205,Oscar,83,€29K
206,M. Balotelli,83,€55K
207,Luiz Gustavo,83,€63K
208,Giuliano,83,€64K
209,David Luiz,83,€130K
210,R. Fährmann,83,€38K
211,Juan Mata,83,€160K
212,Adán,83,€55K
213,Rui Patrício,83,€74K
214,Y. Sommer,83,€35K
215,Javi Martínez,83,€94K
216,L. Bender,83,€82K
217,Lucas Leiva,83,€64K
218,S. Mandanda,83,€51K
219,Cesc Fàbregas,83,€140K
220,M. Dembélé,83,€120K
221,F. Ribéry,83,€72K
222,R. Jarstein,83,€33K
223,D. De Rossi,83,€80K
224,Pepe Reina,83,€56K
225,J. Pavlenka,82,€30K
226,M. de Ligt,82,€11K
227,Rodri,82,€59K
228,Arthur,82,€125K
229,G. Donnarumma,82,€23K
230,Rosberto Dourado,82,€46K
231,Juiano Mestres,82,€39K
232,Raphaelito Anjos,82,€32K
233,Gelson Martins,82,€59K
234,Gonçalo Guedes,82,€36K
235,L. Torreira,82,€98K
236,Malcom,82,€140K
237,Pau López,82,€21K
238,L. Hernández,82,€53K
239,C. Lenglet,82,€135K
240,A. Kramarić,82,€54K
241,A. Robertson,82,€98K
242,Dani García,82,€33K
243,F. Bernardeschi,82,€110K
244,J. Brandt,82,€68K
245,D. Rugani,82,€95K
246,Samu Castillejo,82,€94K
247,João Cancelo,82,€95K
248,A. Romagnoli,82,€84K
249,T. Partey,82,€59K
250,Fred,82,€140K
251,J. Vardy,82,€96K
252,A. Belotti,82,€58K
253,E. Forsberg,82,€67K
254,J. Lingard,82,€140K
255,F. Vázquez,82,€27K
256,E. Višća,82,€40K
257,A. Rüdiger,82,€110K
258,A. Florenzi,82,€73K
259,H. Maguire,82,€77K
260,T. Meunier,82,€87K
261,S. Sané,82,€41K
262,G. Kondogbia,82,€46K
263,Rafinha,82,€165K
264,Gabriel Paulista,82,€44K
265,Morata,82,€135K
266,J. Cillessen,82,€135K
267,W. Ben Yedder,82,€28K
268,C. Bakambu,82,€33K
269,Pablo Sarabia,82,€26K
270,W. Zaha,82,€78K
271,Luis Alberto,82,€67K
272,Jonathan Viera,82,€31K
273,Bartra,82,€32K
274,S. Coates,82,€19K
275,Willian José,82,€44K
276,Mário Fernandes,82,€1K
277,Víctor Ruiz,82,€43K
278,T. Delaney,82,€61K
279,K. Casteels,82,€46K
280,M. Götze,82,€67K
281,S. Mustafi,82,€115K
282,J. Pastore,82,€84K
283,Pedro,82,€140K
284,G. Bonaventura,82,€115K
285,R. Bürki,82,€50K
286,Taison,82,€1K
287,S. Nzonzi,82,€77K
288,Marlos,82,€1K
289,A. Ramsey,82,€130K
290,K. Trippier,82,€99K
291,A. Kolarov,82,€73K
292,G. Sigurðsson,82,€125K
293,S. Giovinco,82,€15K
294,M. Arnautović,82,€120K
295,N. Gaitán,82,€22K
296,J. Henderson,82,€125K
297,M. Kruse,82,€45K
298,M. Parolo,82,€59K
299,L. Fejsa,82,€18K
300,A. Rami,82,€57K
301,V. Ćorluka,82,€1K
302,G. Wijnaldum,82,€130K
303,F. Fazio,82,€73K
304,O. Giroud,82,€140K
305,Marcano,82,€73K
306,A. Guardado,82,€35K
307,E. Garay,82,€44K
308,Jardel,82,€17K
309,S. Sirigu,82,€45K
310,E. Viviano,82,€15K
311,L. Koscielny,82,€115K
312,A. Consigli,82,€52K
313,L. Biglia,82,€98K
314,Dani Alves,82,€62K
315,David Villa,82,€12K
316,Aduriz,82,€29K
317,P. Čech,82,€60K
318,Casillas,82,€10K
319,M. Rashford,81,€110K
320,Laure Santeiro,81,€40K
321,L. Bailey,81,€54K
322,M. Akanji,81,€49K
323,F. de Jong,81,€19K
324,Nélson Semedo,81,€125K
325,Pablo Fornals,81,€36K
326,Fabián,81,€64K
327,E. Bailly,81,€105K
328,Dani Ceballos,81,€120K
329,H. Lozano,81,€22K
330,Morales,81,€33K
331,J. Seri,81,€73K
332,M. Politano,81,€57K
333,M. Brozović,81,€64K
334,Williams,81,€31K
335,A. Correa,81,€54K
336,A. Christensen,81,€91K
337,João Mário,81,€71K
338,T. Strakosha,81,€36K
339,E. Hysaj,81,€58K
340,P. Zieliński,81,€64K
341,Ricardo Pereira,81,€64K
342,Grimaldo,81,€14K
343,R. Guerreiro,81,€54K
344,A. Doucouré,81,€60K
345,J. Martínez,81,€14K
346,C. Bacca,81,€45K
347,A. Plea,81,€40K
348,B. Davies,81,€87K
349,M. Nastasić,81,€36K
350,A. Milik,81,€71K
351,M. Sabitzer,81,€54K
352,B. Mendy,81,€105K
353,C. Kramer,81,€35K
354,S. Vrsaljko,81,€57K
355,T. Hazard,81,€40K
356,K. Bellarabi,81,€76K
357,S. Zaza,81,€48K
358,F. Ghoulam,81,€68K
359,B. Lecomte,81,€27K
360,J. Iličić,81,€41K
361,K. Volland,81,€76K
362,Paco Alcácer,81,€59K
363,Vitolo,81,€65K
364,G. Xhaka,81,€115K
365,D. Tadić,81,€26K
366,C. Aránguiz,81,€76K
367,S. Verdi,81,€77K
368,D. Lovren,81,€115K
369,G. Medel,81,€56K
370,X. Shaqiri,81,€130K
371,J. Corona,81,€18K
372,A. Areola,81,€61K
373,K. Vogt,81,€42K
374,Ander Herrera,81,€140K
375,E. Salvio,81,€19K
376,S. El Shaarawy,81,€77K
377,C. Smalling,81,€130K
378,Hulk,81,€25K
379,S. Kagawa,81,€65K
380,M. Lanzini,81,€90K
381,F. Smolov,81,€1K
382,L. Stindl,81,€43K
383,O. Toprak,81,€59K
384,D. Perotti,81,€84K
385,F. Muslera,81,€52K
386,B. Höwedes,81,€1K
387,S. Kjær,81,€23K
388,S. Bender,81,€69K
389,M. Valbuena,81,€86K
390,Pedro León,81,€32K
391,K. Boateng,81,€65K
392,L. Piszczek,81,€57K
393,A. Candreva,81,€74K
394,D. Wass,81,€46K
395,E. Lamela,81,€105K
396,D. Rose,81,€92K
397,C. Vela,81,€15K
398,Renato Augusto,81,€28K
399,A. Valencia,81,€120K
400,L. Fabiański,81,€70K
401,João Moutinho,81,€85K
402,Borja Valero,81,€74K
403,F. Quagliarella,81,€39K
404,B. Gomis,81,€56K
405,Manuel Fernandes,81,€1K
406,H. Herrera,81,€20K
407,Raffael,81,€41K
408,Nani,81,€19K
409,J. Milner,81,€120K
410,J. Mathieu,81,€18K
411,Joaquín,81,€24K
412,M. Gómez,80,€25K
413,K. Havertz,80,€32K
414,T. Ndombele,80,€51K
415,H. Aouar,80,€51K
416,Carlos Soler,80,€31K
417,Odriozola,80,€115K
418,M. Almirón,80,€11K
419,Welington Dano,80,€34K
420,Everton Andrão,80,€34K
421,Oyarzabal,80,€29K
422,F. Balbuena,80,€80K
423,M. Marega,80,€19K
424,B. Pavard,80,€33K
425,W. Ndidi,80,€50K
426,A. Onana,80,€14K
427,G. Lo Celso,80,€72K
428,M. Acuña,80,€16K
429,Rúben Neves,80,€59K
430,Mariano,80,€140K
431,Raúl,80,€19K
432,M. Caldara,80,€73K
433,M. Vecino,80,€63K
434,T. Bakayoko,80,€85K
435,M. Dahoud,80,€50K
436,Rafa,80,€17K
437,K. Baldé,80,€65K
438,G. Rulli,80,€26K
439,F. Armani,80,€22K
440,Rony Lopes,80,€65K
441,Santi Mina,80,€40K
442,K. Demirbay,80,€37K
443,Gayà,80,€33K
444,André Gomes,80,€130K
445,N. Tagliafico,80,€20K
446,M. Sanson,80,€47K
447,Pacheco,80,€23K
448,E. Can,80,€91K
449,H. Çalhanoğlu,80,€89K
450,M. Ginter,80,€28K
451,M. Keane,80,€88K
452,L. Paredes,80,€0.00
453,T. Stepanenko,80,€1K
454,L. Shaw,80,€96K
455,Z. Feddal,80,€29K
456,S. Haller,80,€41K
457,Bernard,80,€97K
458,T. Inui,80,€30K
459,Portu,80,€37K
460,M. Batshuayi,80,€105K
461,E. Zahavi,80,€24K
462,T. Vaclík,80,€17K
463,N. Pope,80,€48K
464,Héctor Bellerín,80,€85K
465,P. Kadeřábek,80,€39K
466,J. Butland,80,€39K
467,J. Vestergaard,80,€51K
468,J. Tarkowski,80,€56K
469,Deulofeu,80,€56K
470,E. Dier,80,€73K
471,J. Murillo,80,€38K
472,M. Badelj,80,€53K
473,Ismaily,80,€1K
474,N. Schulz,80,€37K
475,L. Digne,80,€79K
476,M. Uth,80,€42K
477,Cristian Tello,80,€30K
478,D. Vida,80,€55K
479,L. Muriel,80,€24K
480,V. Aboubakar,80,€19K
481,A. Oxlade-Chamberlain,80,€94K
482,S. Aurier,80,€82K
483,J. Matip,80,€99K
484,Y. Rakitskyi,80,€1K
485,Sergi Enrich,80,€34K
486,A. Yarmolenko,80,€92K
487,Hugo Mallo,80,€27K
488,André Almeida,80,€15K
489,D. Didavi,80,€44K
490,R. Rodríguez,80,€81K
491,R. Pereyra,80,€65K
492,Mario Gaspar,80,€35K
493,Maicon,80,€63K
494,D. Blind,80,€22K
495,J. Zoet,80,€16K
496,A. Ljajić,80,€52K
497,Canales,80,€30K
498,Iago Falqué,80,€59K
499,L. de Jong,80,€23K
500,Guaita,80,€48K
501,Muniain,80,€31K
502,Susaeta,80,€33K
503,S. Rudy,80,€37K
504,K. Trapp,80,€61K
505,V. Wanyama,80,€86K
506,N. Nkoulou,80,€50K
507,R. Boudebouz,80,€31K
508,Camacho,80,€51K
509,S. Ulreich,80,€61K
510,M. Musacchio,80,€85K
511,C. Stuani,80,€41K
512,P. Gulácsi,80,€45K
513,Bruno,80,€39K
514,F. Delph,80,€120K
515,A. Lallana,80,€110K
516,Marcelo,80,€64K
517,S. Coleman,80,€97K
518,Alexandre Pato,80,€35K
519,Antunes,80,€27K
